x,y,mag,prof,ano,catprof,catmag,descripcion
791395.68,689249.5784,4.2,144,2003,intermedio,Ligera Magnitud,Tobas  aglomerados y lavas  ocasionalmente  intercalaciones de capas rojas de arenitas líticas y limolitas.
787841.1741,696776.5522,4.1,3.1,2010,superficial,Ligera Magnitud,Tobas  aglomerados y lavas  ocasionalmente  intercalaciones de capas rojas de arenitas líticas y limolitas.
860227.5581,744934.6229,4,422.7,2007,profundo,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
856224.3409,747260.8723,4.1,8,1993,superficial,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
859007.7595,749470.4323,4.2,14.7,1996,superficial,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
887067.2096,781298.7273,4.6,102,2004,intermedio,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
896633.7054,783392.5438,4,3.7,2007,superficial,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
893857.2022,788481.8815,4.7,3.9,2003,superficial,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
918223.3851,806379.9968,4,14.8,2004,superficial,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
911775.9395,808927.7842,4,0.1,2006,superficial,Ligera Magnitud,Gneises cuarzofeldespáticos  migmatitas  granulitas  anfibolitas  ortogneises  cuarcitas y mármoles.
891650.4322,809717.4739,4,20,2002,superficial,Ligera Magnitud,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas
903223.9608,821651.8497,4.5,0.5,2000,superficial,Ligera Magnitud,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas
919579.6578,839665.581,4.3,1.4,1997,superficial,Ligera Magnitud,Filitas y pizarras que alternan con cuarzoarenitas y arenitas lodosas
949937.0756,864418.7254,4.2,18.6,2010,superficial,Ligera Magnitud,Filitas y pizarras que alternan con cuarzoarenitas y arenitas lodosas
936269.0546,866637.5794,4.2,4,2006,superficial,Ligera Magnitud,Cuarzoarenitas  arcillolitas  lodolitas grises y  ocasionalmente  calizas y conglomerados.
937936.9842,868295.3571,5.2,13.2,2016,superficial,Moderada Magnitud,Cuarzoarenitas  arcillolitas  lodolitas grises y  ocasionalmente  calizas y conglomerados.
970056.5468,881551.1209,4.1,9.7,2000,superficial,Ligera Magnitud,Filitas y pizarras que alternan con cuarzoarenitas y arenitas lodosas
985503.6866,900456.8096,4.1,0.1,2004,superficial,Ligera Magnitud,Filitas y pizarras que alternan con cuarzoarenitas y arenitas lodosas
1036689.97,965705.6561,5.2,0.6,1999,superficial,Moderada Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1034912.549,968690.6276,4.8,4,1999,superficial,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1043456.767,975329.581,4,4,2011,superficial,Ligera Magnitud,Cuarzoarenitas  arcillolitas  lodolitas grises y  ocasionalmente  calizas y conglomerados.
1029580.737,978419.8009,5.8,1.15,2008,superficial,Moderada Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1053666.125,979537.7458,4.1,17.8,1997,superficial,Ligera Magnitud,Cuarzoarenitas  arcillolitas  lodolitas grises y  ocasionalmente  calizas y conglomerados.
1078047.223,1018705.944,4.7,0.5,2006,superficial,Ligera Magnitud,Cuarzoarenitas  arcillolitas  lodolitas grises y  ocasionalmente  calizas y conglomerados.
1126166.653,1038789.513,4.9,1.04,1995,superficial,Ligera Magnitud,Abanicos aluviales y depósitos coluviales
1120174.895,1039774.922,4,16.1,2012,superficial,Ligera Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1119506.641,1041432.867,5.3,1,1995,superficial,Moderada Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1105078.956,1046940.673,5.6,1,1995,superficial,Moderada Magnitud,Conglomerados y brechas  arenitas de grano fino a conglomeráticas y calizas estromatolíticas  e intercalaciones de lodolitas negras.
1122934.273,1047964.142,4.8,1.5,2000,superficial,Ligera Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1133904.51,1053624.568,4.6,1,1995,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1112713.28,1058786.374,4.2,4,1996,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1131676.126,1059150.792,5.5,1,1995,superficial,Moderada Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1116699.67,1062332.07,4,3,2015,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1116586.221,1063880.311,4.8,0.1,1998,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1123348.881,1064776.662,4.1,0.4,2003,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1121685.368,1064884.368,4,1.3,2000,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1114143.112,1066088.337,4.2,4,1999,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1041627.85,1071647.736,4,152.8,2007,intermedio,Ligera Magnitud,Arcillolitas rojizas con intercalaciones de cuarzoarenitas de grano fino. Mantos de carbón a la base.
1125552.942,1072412.32,4.4,4.1,2014,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1037635.612,1074078.342,4.1,149.3,2009,intermedio,Ligera Magnitud,Arcillolitas rojizas con intercalaciones de cuarzoarenitas de grano fino. Mantos de carbón a la base.
1040073.713,1075296.155,4.2,152.4,2005,intermedio,Ligera Magnitud,Conglomerados intercalados con arenitas de grano medio a grueso y lodolitas carbonosas
1035972.045,1075515.067,4.1,151,2016,intermedio,Ligera Magnitud,Conglomerados intercalados con arenitas de grano medio a grueso y lodolitas carbonosas
1136744.509,1076083.578,4,1.3,2000,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1034750.884,1079053.175,4.3,146,2012,intermedio,Ligera Magnitud,Arcillas  turbas  y arcillas arenosas con niveles delgados de gravas. Localmente  capas de depósitos de diatomeas.
1163346.881,1079902.549,4,3.4,2000,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1146712.101,1081413.506,4.2,4,2016,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1148250.056,1087943.069,4.3,14.7,2000,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1096587.042,1092273.388,4.1,14.1,2012,superficial,Ligera Magnitud,Shales con yeso y chert intercalados con calizas y arenitas
1036516.199,1094314.943,4.8,151.1,2014,intermedio,Ligera Magnitud,Arcillas  turbas  y arcillas arenosas con niveles delgados de gravas. Localmente  capas de depósitos de diatomeas.
1158971.628,1101462.975,4.7,16.4,1997,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1044489.977,1102392.635,5.1,1,1995,superficial,Moderada Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1006704.605,1102930.898,4.3,121.3,2003,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1160293.401,1104895.389,4.3,19.3,2002,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1039057.921,1106480.905,4.2,146.1,2003,intermedio,Ligera Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1000388.675,1106579.852,4.1,100.4,2016,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1039167.928,1107808.013,4.8,156.4,2000,intermedio,Ligera Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1022325.761,1110122.389,5.7,137.7,1995,intermedio,Moderada Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1022657.72,1111338.944,4.2,135.7,1995,intermedio,Ligera Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1006482.129,1111667.074,4.2,116,1997,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
968148.9878,1112780.42,4,97.11,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1150516.396,1115048.951,4.2,1.2,2009,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1056333.526,1117552.405,4.9,170,2000,intermedio,Ligera Magnitud,Depósitos aluviales y de llanuras aluviales
988759.5198,1133784.809,4.3,110,2000,intermedio,Ligera Magnitud,Shales  calizas  arenitas  cherts y fosforitas
1172254.719,1149176.216,4.4,0.9,2001,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1082760.185,1156399.881,4.1,150,1995,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1215321.269,1156504.725,4.1,33,1997,superficial,Ligera Magnitud,Abanicos aluviales disectados
1011237.503,1159661.997,4.5,150,2000,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1046994.369,1161559.292,4.1,128.3,1996,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1001827.455,1161762.123,4.2,2.5,2000,superficial,Ligera Magnitud,Arenitas  limolitas y lodolitas con mantos delgados de carbón.
1040794.751,1161775.942,4,124,2001,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1149513.371,1163496.754,5.4,2.9,1999,superficial,Moderada Magnitud,Shales  calizas  fosforitas  cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.
1205877.638,1164659.65,4,1.2,2004,superficial,Ligera Magnitud,Arcillolitas y limolitas negras con intercalaciones menores de arenitas y calizas. Segmentos de cuarzoarenitas de grano fino a grueso y conglomerados.
1090383.185,1167581.168,4.2,4,2003,superficial,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1014442.529,1182001.309,4.6,4,1998,superficial,Ligera Magnitud,Arenitas líticas con intercalaciones de arcillolitas de color gris verdoso y conglomerados
1017872.986,1182444.611,4,110,1999,intermedio,Ligera Magnitud,Arenitas líticas con intercalaciones de arcillolitas de color gris verdoso y conglomerados
1112050.205,1183987.454,4,199.1,2003,profundo,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1129205.369,1184133.65,4,6,1994,superficial,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1019753.553,1184546.39,5.3,0.7,1998,superficial,Moderada Magnitud,Arenitas líticas con intercalaciones de arcillolitas de color gris verdoso y conglomerados
1022740.975,1185542.776,4,47.2,2011,superficial,Ligera Magnitud,Shales  calizas  arenitas  cherts y fosforitas
1099421.608,1190711.171,4,186,2005,profundo,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1210874.934,1191786.006,4,11.6,1994,superficial,Ligera Magnitud,Shales y cuarzoarenitas de grano fino a grueso
1057808.82,1196736.951,4.1,122.6,2006,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1049399.253,1197834.968,4.2,111.8,1997,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1089006.721,1198989.047,4.4,2.52,2015,superficial,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1028045.702,1199589.888,4.1,1.3,2000,superficial,Ligera Magnitud,Conglomerados intercalados con arenitas de grano medio a grueso y lodolitas carbonosas
1061787.679,1200611.885,4.2,135,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1126278.554,1206359.828,4.8,188,2007,profundo,Ligera Magnitud,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas
1033350.59,1208771.705,4.6,2.56,2000,superficial,Ligera Magnitud,Abanicos aluviales y depósitos coluviales
1090428.961,1209055.851,4.5,160,2000,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1027487.863,1209210.886,4,5,2000,superficial,Ligera Magnitud,Arcillolitas abigarradas y cuarzoarenitas de grano fino a conglomeráticas
1103368.345,1211069.059,4.2,171.6,1996,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1052041.897,1211550.732,5.4,170,1994,intermedio,Moderada Magnitud,Shales con yeso  cherts  calizas y arenitas.
1225846.837,1213089.348,4.3,8.6,2012,superficial,Ligera Magnitud,Cuarzoarenitas de grano fino a grueso  conglomerados y arenitas feldespáticas y líticas  e intercalaciones de lodolitas oscuras.
1057127.953,1213546.374,4.2,137.6,2015,intermedio,Ligera Magnitud,Cuarzoarenitas de grano fino a conglomeráticas con intercalaciones de lodolitas y conglomerados
1078915.584,1215231.917,4.1,130,1995,intermedio,Ligera Magnitud,Capas rojas constituidas por arenitas  conglomerados y limolitas.
1096059.915,1215369.487,4.1,160,1995,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1062655.967,1215653.601,4,112.99,2011,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1066526.452,1216211.072,4,136.2,2014,intermedio,Ligera Magnitud,Capas rojas constituidas por arenitas  conglomerados y limolitas.
1127472.636,1216428.124,4.2,148.3,1996,intermedio,Ligera Magnitud,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas
1047060.055,1216744.127,4,110,2007,intermedio,Ligera Magnitud,Shales  calizas  arenitas  cherts y fosforitas
1061991.11,1216758.796,4.3,114.2,2016,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1070285.02,1217764.04,4,132,1998,intermedio,Ligera Magnitud,Capas rojas constituidas por arenitas  conglomerados y limolitas.
1068294.068,1217872.146,4.1,120.5,2007,intermedio,Ligera Magnitud,Capas rojas constituidas por arenitas  conglomerados y limolitas.
1065971.331,1217979.927,4,122,2001,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1104682.711,1218039.545,4.6,177.1,2000,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1076808.525,1219210.458,4.3,150,1998,intermedio,Ligera Magnitud,Capas rojas constituidas por arenitas  conglomerados y limolitas.
1113860.617,1219384.928,4.4,182,2001,profundo,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1092729.715,1222442.283,5.1,183.6,1996,profundo,Moderada Magnitud,Shales con yeso  cherts  calizas y arenitas.
1117172.32,1222488.868,4,4,1997,superficial,Ligera Magnitud,Cuarzoarenitas de grano fino a conglomeráticas con intercalaciones de lodolitas y conglomerados
1097704.041,1223888.713,4.1,150,2000,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1097150.088,1224440.742,4.1,160,1999,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1221706.322,1224470.411,4.1,8,2008,superficial,Ligera Magnitud,Cuarzoarenitas de grano fino a grueso  conglomerados y arenitas feldespáticas y líticas  e intercalaciones de lodolitas oscuras.
1091508.918,1224984.055,5.1,150,1994,intermedio,Moderada Magnitud,Shales con yeso  cherts  calizas y arenitas.
1098031.479,1226322.549,4.1,164,1993,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1061427.133,1226601.05,4,120,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1091395.56,1226642.876,4.7,145,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1104334.54,1226666.006,4.4,145,1998,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1107873.478,1226672.864,4.2,155,1995,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1109974.738,1226677.045,4.2,150,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1115946.806,1226689.367,4.6,155,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1110416.441,1227009.752,4.6,151.59,1999,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1087523.939,1227300.149,4.3,160,2000,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1105326.454,1228437.578,4.4,174.2,1993,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1090617.779,1228853.595,4.1,160,2000,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1107757.651,1229327.163,4.5,151.8,2000,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1096367.168,1229416.454,4.1,143.6,1999,intermedio,Ligera Magnitud,Abanicos aluviales y depósitos coluviales
1098136.508,1229419.609,4,140,1993,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1093491.625,1229632.651,4.4,150,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1062529.026,1230030.732,4.3,150,1995,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1095922.887,1230521.691,4.7,145,1993,intermedio,Ligera Magnitud,Abanicos aluviales y depósitos coluviales
1091941.795,1230625.425,4.4,152.8,1999,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1125559.017,1230913.79,4.1,150,1994,intermedio,Ligera Magnitud,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas
1083647.863,1230943.849,4.1,150,1998,intermedio,Ligera Magnitud,Capas rojas constituidas por arenitas  conglomerados y limolitas.
1099460.692,1230970.449,4,150,1995,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1108085.462,1231318.711,4.4,150,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1093709.364,1231623.852,4,150,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1106868.399,1231648.122,4,150,1994,intermedio,Ligera Magnitud,Cuarzoarenitas de grano fino a conglomeráticas con intercalaciones de lodolitas y conglomerados
1067502.861,1231695.6,4.4,15.9,1998,superficial,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1117262.532,1232001.369,4.3,150.3,1999,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1105208.389,1232308.513,4.5,166.8,2001,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1113280.824,1232324.746,4,148.45,1999,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1107087.601,1232644,4.9,164.87,1994,intermedio,Ligera Magnitud,Arenitas  limolitas y calizas intercaladas con tobas  brechas  aglomerados y lavas riolíticas a andesíticas.
1088952.346,1232943.066,4.1,143,1999,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1109850.992,1233202.551,4.6,155,1995,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1099456.238,1233403.709,4.5,150,1997,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1091382.941,1234163.715,5.1,150,1994,intermedio,Moderada Magnitud,Cuarzoarenitas de grano fino a conglomeráticas con intercalaciones de lodolitas y conglomerados
1107968.94,1234304.83,4.2,150,1994,intermedio,Ligera Magnitud,Arenitas  limolitas y calizas intercaladas con tobas  brechas  aglomerados y lavas riolíticas a andesíticas.
1119468.87,1234439.576,4.7,155.68,2000,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1080545.799,1234920.713,5.5,140.7,1997,intermedio,Moderada Magnitud,Capas rojas constituidas por arenitas  conglomerados y limolitas.
1105866.688,1234964.311,4.2,150,1994,intermedio,Ligera Magnitud,Arenitas  limolitas y calizas intercaladas con tobas  brechas  aglomerados y lavas riolíticas a andesíticas.
1109073.373,1234970.677,4.9,150,1998,intermedio,Ligera Magnitud,Abanicos aluviales y depósitos coluviales
1107082.795,1235077.309,4,146.4,1997,intermedio,Ligera Magnitud,Arenitas  limolitas y calizas intercaladas con tobas  brechas  aglomerados y lavas riolíticas a andesíticas.
1086183.945,1235482.394,5,145.87,1999,intermedio,Moderada Magnitud,Capas rojas constituidas por arenitas  conglomerados y limolitas.
1105423.311,1235516.47,4.1,150,1994,intermedio,Ligera Magnitud,Arenitas  limolitas y calizas intercaladas con tobas  brechas  aglomerados y lavas riolíticas a andesíticas.
1129639.75,1235569.09,4.7,131.4,2007,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1099451.566,1235947.574,4.1,150,1998,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1115927.005,1235980.395,4,168,1993,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1099451.362,1236058.177,4,150,1995,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1218450.08,1236297.5,5.3,12.1,1995,superficial,Moderada Magnitud,Cuarzoarenitas de grano fino a grueso  conglomerados y arenitas feldespáticas y líticas  e intercalaciones de lodolitas oscuras.
1108738.755,1236407.881,4.3,150,1993,intermedio,Ligera Magnitud,Abanicos aluviales y depósitos coluviales
1096907.05,1236717.171,5.3,150,1994,intermedio,Moderada Magnitud,Shales con yeso  cherts  calizas y arenitas.
1110175.527,1236742.611,4.4,152.1,1997,intermedio,Ligera Magnitud,Abanicos aluviales y depósitos coluviales
1116367.165,1236976.815,4.2,152,1993,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1098786.117,1237052.385,4.4,151.76,1995,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1113602.593,1237081.534,4.2,150.8,1994,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1116698.648,1237088.139,4.5,172,1996,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1133838.033,1237127.917,4.3,160,2000,intermedio,Ligera Magnitud,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas
1106636.13,1237288.533,4.2,150,2000,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1094694.515,1237376.858,4.8,150,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1098011.535,1237382.781,4.6,148.88,1996,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1087839.06,1237586.462,5.4,150,1994,intermedio,Moderada Magnitud,Shales con yeso  cherts  calizas y arenitas.
1120014.649,1237648.458,4.3,156.1,1993,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1087727.956,1237918.082,4.3,141.4,2008,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1094472.413,1237929.478,4.6,154.1,1999,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1104534.013,1237948.048,4.6,150,1995,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1109177.914,1237957.252,5.5,160,1998,intermedio,Moderada Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1113047.643,1238075.835,4.2,158,1993,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1092149.972,1238257.263,4.9,150,1995,intermedio,Ligera Magnitud,Capas rojas constituidas por arenitas  conglomerados y limolitas.
1131844.631,1238339.761,4.6,150,1997,intermedio,Ligera Magnitud,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas
1095356.157,1238373.443,4.6,148.7,1994,intermedio,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
1115147.783,1238412.104,4,152,1996,intermedio,Ligera Magnitud,Filitas  esquistos  cuarcitas  pizarras  metaconglomerados  metalimolitas y mármoles.
1104974.778,1238723.139,4,2.5,2000,superficial,Ligera Magnitud,Shales con yeso  cherts  calizas y arenitas.
